symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JPM,2019-02-07 00:00:00+00:00,102.38,103.5,101.44,103.25,13177489,88.6592796099,89.6291799143,87.8452561401,89.4126843106,13177489,0.0,1.0
JPM,2019-02-08 00:00:00+00:00,101.36,102.34,100.06,102.08,12892562,87.775977547,88.6246403133,86.6502004079,88.3994848855,12892562,0.0,1.0
JPM,2019-02-11 00:00:00+00:00,100.88,102.01,100.77,101.76,10978516,87.3603059879,88.3388661165,87.2650479223,88.1223705128,10978516,0.0,1.0
JPM,2019-02-12 00:00:00+00:00,102.6,102.92,101.89,101.95,12852252,88.8497957411,89.1269101138,88.2349482267,88.2869071716,12852252,0.0,1.0
JPM,2019-02-13 00:00:00+00:00,103.09,103.85,102.9,102.9,10754061,89.2741271243,89.9322737594,89.1095904655,89.1095904655,10754061,0.0,1.0
JPM,2019-02-14 00:00:00+00:00,102.42,103.1,101.35,102.47,11518530,88.6939189065,89.2827869484,87.7673177228,88.7372180272,11518530,0.0,1.0
JPM,2019-02-15 00:00:00+00:00,105.55,105.7,103.66,103.9,14716861,91.4044438643,91.5343412265,89.7677371006,89.9755728801,14716861,0.0,1.0
JPM,2019-02-19 00:00:00+00:00,105.18,105.37,103.81,104.91,12764888,91.0840303709,91.2485670296,89.8976344628,90.8502151189,12764888,0.0,1.0
JPM,2019-02-20 00:00:00+00:00,105.69,105.8,104.88,105.21,10030326,91.5256814023,91.6209394679,90.8242356465,91.1100098433,10030326,0.0,1.0
JPM,2019-02-21 00:00:00+00:00,105.47,105.99,104.96,105.45,8400075,91.3351652711,91.7854761267,90.8935142396,91.3178456228,8400075,0.0,1.0
JPM,2019-02-22 00:00:00+00:00,105.0,106.09,104.775,105.7,10647258,90.9281535362,91.8720743682,90.7333074929,91.5343412265,10647258,0.0,1.0
JPM,2019-02-25 00:00:00+00:00,106.1,107.27,105.69,105.75,11230679,91.8807341923,92.8939336174,91.5256814023,91.5776403472,11230679,0.0,1.0
JPM,2019-02-26 00:00:00+00:00,105.29,105.47,103.94,104.5,15465393,91.1792884365,91.3351652711,90.0102121767,90.4951623289,15465393,0.0,1.0
JPM,2019-02-27 00:00:00+00:00,105.16,105.38,104.51,105.18,9968822,91.0667107226,91.2572268538,90.5038221531,91.0840303709,9968822,0.0,1.0
JPM,2019-02-28 00:00:00+00:00,104.36,105.21,104.18,105.01,15156850,90.3739247909,91.1100098433,90.2180479562,90.9368133604,15156850,0.0,1.0
