symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2019-01-23 00:00:00+00:00,106.71,107.04,105.34,106.12,25874294,101.3116594435,101.6249651095,100.0109662242,100.7515068892,25874294,0.0,1.0
MSFT,2019-01-24 00:00:00+00:00,106.2,107.0,105.34,106.86,23164838,100.8274597779,101.5869886651,100.0109662242,101.4540711099,23164838,0.0,1.0
MSFT,2019-01-25 00:00:00+00:00,107.17,107.88,106.2,107.24,31218193,101.7483885537,102.4224704411,100.8274597779,101.8148473313,31218193,0.0,1.0
MSFT,2019-01-28 00:00:00+00:00,105.08,106.48,104.66,106.26,29476719,99.7641193358,101.0932948884,99.36536667,100.8844244445,29476719,0.0,1.0
MSFT,2019-01-29 00:00:00+00:00,102.94,104.97,102.17,104.88,31490547,97.7323795625,99.6596841138,97.0013330086,99.574237114,31490547,0.0,1.0
MSFT,2019-01-30 00:00:00+00:00,106.38,106.38,104.33,104.62,49471866,100.9983537775,100.9983537775,99.0520610041,99.3273902257,49471866,0.0,1.0
MSFT,2019-01-31 00:00:00+00:00,104.43,105.22,103.18,103.8,55636391,99.147002115,99.8970368911,97.9602382287,98.5488731163,55636391,0.0,1.0
MSFT,2019-02-01 00:00:00+00:00,102.78,104.1,102.35,103.78,35535690,97.5804737851,98.833696449,97.1722270082,98.5298848941,35535690,0.0,1.0
MSFT,2019-02-04 00:00:00+00:00,105.74,105.8,102.77,102.87,31315282,100.3907306678,100.4476953343,97.570979674,97.6659207849,31315282,0.0,1.0
MSFT,2019-02-05 00:00:00+00:00,107.22,107.27,105.96,106.06,27325365,101.7958591091,101.8433296646,100.5996011118,100.6945422227,27325365,0.0,1.0
MSFT,2019-02-06 00:00:00+00:00,106.03,107.0,105.53,107.0,20609759,100.6660598894,101.5869886651,100.1913543349,101.5869886651,20609759,0.0,1.0
MSFT,2019-02-07 00:00:00+00:00,105.27,105.59,104.29,105.19,29760697,99.9445074465,100.2483190014,99.0140845597,99.8685545578,29760697,0.0,1.0
MSFT,2019-02-08 00:00:00+00:00,105.67,105.78,104.26,104.39,21461093,100.3242718901,100.4287071121,98.9856022264,99.1090256706,21461093,0.0,1.0
MSFT,2019-02-11 00:00:00+00:00,105.25,106.58,104.97,106.2,18914123,99.9255192244,101.1882359993,99.6596841138,100.8274597779,18914123,0.0,1.0
MSFT,2019-02-12 00:00:00+00:00,106.89,107.14,105.48,106.14,25056595,101.4825534431,101.7199062204,100.1438837794,100.7704951114,25056595,0.0,1.0
MSFT,2019-02-13 00:00:00+00:00,106.81,107.78,106.71,107.5,18394869,101.4066005544,102.3275293302,101.3116594435,102.0616942196,18394869,0.0,1.0
MSFT,2019-02-14 00:00:00+00:00,106.9,107.29,105.66,106.31,21784703,101.4920475542,101.8623178868,100.3147777791,100.9318949999,21784703,0.0,1.0
MSFT,2019-02-15 00:00:00+00:00,108.22,108.3,107.36,107.91,26606886,102.7452702181,102.8212231069,101.9287766644,102.4509527743,26606886,0.0,1.0
MSFT,2019-02-19 00:00:00+00:00,108.17,108.66,107.78,107.79,18038460,102.6977996627,103.1630111061,102.3275293302,102.3370234413,18038460,0.0,1.0
MSFT,2019-02-20 00:00:00+00:00,107.15,107.94,106.29,107.86,21607671,102.1661294416,102.9193841524,101.3461306426,102.8431051944,21607671,0.46,1.0
MSFT,2019-02-21 00:00:00+00:00,109.41,109.48,106.87,106.9,29063231,104.3210100066,104.3877540949,101.8991530885,101.9277576977,29063231,0.0,1.0
MSFT,2019-02-22 00:00:00+00:00,110.97,111.2,109.82,110.05,27763218,105.8084496886,106.0277516931,104.7119396666,104.931241671,27763218,0.0,1.0
MSFT,2019-02-25 00:00:00+00:00,111.59,112.18,111.26,111.76,23750599,106.3996116136,106.9621689292,106.0849609116,106.5617043994,23750599,0.0,1.0
MSFT,2019-02-26 00:00:00+00:00,112.36,113.24,111.17,111.26,21536733,107.1337965848,107.9728651234,105.9991470838,106.0849609116,21536733,0.0,1.0
MSFT,2019-02-27 00:00:00+00:00,112.17,112.36,110.88,111.69,21487062,106.9526340594,107.1337965848,105.7226358608,106.4949603111,21487062,0.0,1.0
MSFT,2019-02-28 00:00:00+00:00,112.03,112.88,111.73,112.04,29083934,106.8191458828,107.6296098122,106.5330997901,106.8286807526,29083934,0.0,1.0
MSFT,2019-03-01 00:00:00+00:00,112.53,113.02,111.67,112.89,23501169,107.2958893707,107.7630979887,106.4758905716,107.6391446819,23501169,0.0,1.0
MSFT,2019-03-04 00:00:00+00:00,112.26,113.25,110.8,113.02,26608014,107.0384478872,107.9823999931,105.6463569028,107.7630979887,26608014,0.0,1.0
MSFT,2019-03-05 00:00:00+00:00,111.7,112.39,111.23,112.25,19538318,106.5044951809,107.1624011941,106.0563563023,107.0289130175,19538318,0.0,1.0
MSFT,2019-03-06 00:00:00+00:00,111.75,112.66,111.43,111.87,17686996,106.5521695297,107.4198426775,106.2470536975,106.6665879667,17686996,0.0,1.0
MSFT,2019-03-07 00:00:00+00:00,110.39,111.55,109.87,111.4,25338954,105.2554272428,106.3614721345,104.7596140154,106.2184490882,25338954,0.0,1.0
MSFT,2019-03-08 00:00:00+00:00,110.51,110.71,108.8,109.16,22818430,105.3698456798,105.560543075,103.7393829515,104.0826382627,22818430,0.0,1.0
MSFT,2019-03-11 00:00:00+00:00,112.83,112.95,110.98,110.99,26491618,107.5819354634,107.6963539004,105.8179845584,105.8275194282,26491618,0.0,1.0
MSFT,2019-03-12 00:00:00+00:00,113.62,113.99,112.65,112.82,26132717,108.3351901741,108.6879803551,107.4103078078,107.5724005936,26132717,0.0,1.0
MSFT,2019-03-13 00:00:00+00:00,114.5,115.0,113.78,114.13,35513771,109.1742587127,109.6510022005,108.4877480902,108.8214685317,35513771,0.0,1.0
